"dept_id","name","floor","extension","created_at"
1,"Dept_1",2,"10101","2025-11-08"
2,"Dept_2",3,"10102","2025-11-08"
3,"Dept_3",4,"10103","2025-11-08"
4,"Dept_4",5,"10104","2025-11-08"
5,"Dept_5",6,"10105","2025-11-08"
6,"Dept_6",7,"10106","2025-11-08"
7,"Dept_7",8,"10107","2025-11-08"
8,"Dept_8",9,"10108","2025-11-08"
9,"Dept_9",10,"10109","2025-11-08"
10,"Dept_10",1,"10110","2025-11-08"
11,"Dept_11",2,"10111","2025-11-08"
12,"Dept_12",3,"10112","2025-11-08"
13,"Dept_13",4,"10113","2025-11-08"
14,"Dept_14",5,"10114","2025-11-08"
15,"Dept_15",6,"10115","2025-11-08"
16,"Dept_16",7,"10116","2025-11-08"
17,"Dept_17",8,"10117","2025-11-08"
18,"Dept_18",9,"10118","2025-11-08"
19,"Dept_19",10,"10119","2025-11-08"
20,"Dept_20",1,"10120","2025-11-08"
